ITEM_CODE,DRUG_NAME,FORM/STRENGTH,ATC5_Code,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07
05244B,MORPHINE,"Sachet containing controlled release granules for oral suspension, containing morphine sulfate pentahydrate 60 mg per sachet",N02AA01,44.41,44.41,44.41,44.41,44.41,44.41,44.41,44.41,44.46,44.46,44.46,44.46,44.46,44.46,44.46,44.46,44.65,44.65,44.65,44.65,43.76,43.76,43.76,43.76,43.76,43.76,43.76,43.76,43.76,43.76,43.76,43.93,44.05,44.05,44.05,44.05,44.05,44.05,44.05,44.05,54.08,54.08,54.08,54.45,54.95,54.95,54.95,54.95,54.95,54.95,54.95,54.95,54.95,54.95,54.95,55.38,50.16,50.16,50.16,50.16,54.69,54.69,54.69,54.69,54.69,54.69,54.69,54.69,53.87,53.87,53.87,53.87,53.87,53.87,53.07,53.07,53.07,69.87,69.87,,,,,,,,,,,,,
05245C,MORPHINE,"Sachet containing controlled release granules for oral suspension, containing morphine sulfate pentahydrate 100 mg per sachet",N02AA01,61.19,61.19,61.19,61.19,61.19,61.19,61.19,61.19,61.24,61.24,61.24,61.24,61.24,61.24,61.24,61.24,61.43,61.43,61.43,61.43,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,60.16,60.28,60.28,60.28,60.28,60.28,60.28,60.28,60.28,66.54,66.54,66.54,66.91,67.09,67.09,67.09,67.09,67.09,67.09,67.09,67.09,67.09,67.09,67.09,67.52,60.23,60.23,60.23,60.23,66.56,66.56,66.56,66.56,66.56,66.56,66.56,66.56,65.42,65.42,65.42,65.42,65.42,65.42,64.3,64.3,64.3,86.37,86.37,,,,,,,,,,,,,
05246D,MORPHINE,Capsule containing morphine sulfate pentahydrate 10 mg (containing sustained release pellets),N02AA01,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.63,15.63,15.63,15.63,15.63,15.63,15.63,15.63,15.82,15.82,15.82,15.82,15.87,15.87,15.87,15.87,15.87,15.87,15.87,15.87,15.87,15.87,15.87,16.04,16.16,16.16,16.16,16.16,16.16,16.16,16.16,16.16,16.16,16.16,16.16,16.53,17.07,17.07,17.07,17.07,17.97,17.97,17.97,17.97,17.97,17.97,17.97,18.4,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.08,17.08,17.08,17.08,17.08,17.08,16.92,16.92,16.92,16.92,16.92,,,,,,,,,,,,,
05247E,OXYCODONE,Tablet containing oxycodone hydrochloride 10 mg (controlled release),N02AA05,19.72,19.72,19.72,19.72,19.72,19.72,19.72,19.72,19.77,19.77,19.77,19.77,19.77,19.77,19.77,19.77,19.96,19.96,19.96,19.96,19.86,19.86,19.86,19.86,19.86,19.86,19.86,19.86,19.86,19.86,19.86,20.03,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.52,21.25,21.25,21.25,21.25,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,27.09,27.09,27.09,,,,,,,,,,,,,
05248F,OXYCODONE,Tablet containing oxycodone hydrochloride 20 mg (controlled release),N02AA05,28.40,28.40,28.40,28.40,28.40,28.40,28.40,28.40,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.64,28.64,28.64,28.64,28.27,28.27,28.27,28.27,28.27,28.27,28.27,28.27,28.27,28.27,28.27,28.44,28.56,28.56,28.56,28.56,28.56,28.56,28.56,28.56,28.56,28.56,28.56,28.93,30.03,30.03,30.03,30.03,31.44,31.44,31.44,31.44,31.44,31.44,31.44,31.87,31.87,31.87,31.87,31.87,31.87,31.87,31.87,31.87,31.87,31.87,31.87,31.87,31.87,31.87,31.87,31.87,31.87,31.87,31.87,31.87,40.97,40.97,40.97,,,,,,,,,,,,,
05249G,OXYCODONE,Tablet containing oxycodone hydrochloride 40 mg (controlled release),N02AA05,44.41,44.41,44.41,44.41,44.41,44.41,44.41,44.41,44.46,44.46,44.46,44.46,44.46,44.46,44.46,44.46,44.65,44.65,44.65,44.65,43.76,43.76,43.76,43.76,43.76,43.76,43.76,43.76,43.76,43.76,43.76,43.93,44.05,44.05,44.05,44.05,44.05,44.05,44.05,44.05,44.05,44.05,44.05,44.42,45.84,45.84,45.84,45.84,47.92,47.92,47.92,47.92,47.92,47.92,47.92,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,62.6,62.6,62.6,,,,,,,,,,,,,
05250H,OXYCODONE,Tablet containing oxycodone hydrochloride 80 mg (controlled release),N02AA05,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.21,72.21,72.21,72.21,70.43,70.43,70.43,70.43,70.43,70.43,70.43,70.43,70.43,70.43,70.43,70.6,70.72,70.72,70.72,70.72,70.72,70.72,70.72,70.72,70.72,70.72,70.72,71.09,71.27,71.27,71.27,71.27,71.27,71.27,71.27,71.27,71.27,71.27,71.27,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,96.72,96.72,96.72,,,,,,,,,,,,,
05251J,"TETANUS VACCINE, ADSORBED",Injection 0.5 mL in pre-filled syringe,J07AM01,,,,,,,,,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05252K,BENZATHINE PENICILLIN,Powder for injection 900 mg,J01CE08,,,,,,,,,,,,,,,,,,,,,42.36,42.36,42.36,42.36,42.36,42.36,42.36,42.36,42.36,42.36,42.36,42.53,42.69,42.69,42.69,42.69,42.69,42.69,42.69,42.69,42.69,42.69,42.69,43.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05253L,MORPHINE,"Oral solution 1 mg per mL, 500 mL",N02AA01,,,,,,,,,,,,,,,,,,,,,65.04,65.04,65.04,65.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05254M,MORPHINE,"Oral solution 5 mg per mL, 250 mL",N02AA01,,,,,,,,,,,,,,,,,,,,,37.95,37.95,37.95,37.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05255N,MORPHINE,"Oral solution 5 mg per mL, 500 mL",N02AA01,,,,,,,,,,,,,,,,,,,,,68.05,68.05,68.05,68.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05256P,MORPHINE,"Oral solution 10 mg per mL, 250 mL",N02AA01,,,,,,,,,,,,,,,,,,,,,45.74,45.74,45.74,45.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05257Q,FLOXACILLIN,"Powder for oral liquid 125 mg (as sodium monohydrate) per 5 mL, 100 mL",J01CF05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.81,13.81,14.18,13.05,13.05,13.05,13.05,13.05,13.05,15.94,15.94,15.97,15.97,15.97,16.4,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.37,16.37,16.37,16.37,16.37,16.37,16.0,16.0,16.0,16.0,16.0,16.0,16.05,16.05,16.05,16.05,16.05,16.05,16.05,16.05,16.05,16.05,16.05,16.15
05258R,FLOXACILLIN,"Powder for oral liquid 250 mg (as sodium monohydrate) per 5 mL, 100 mL",J01CF05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.41,17.41,17.78,15.88,15.88,15.88,15.88,15.88,15.88,19.65,19.65,19.68,19.68,19.68,20.11,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.08,20.08,20.08,20.08,20.08,20.08,19.53,19.53,19.53,19.53,19.53,19.53,19.58,19.58,19.58,19.58,19.58,19.58,19.58,19.58,19.58,19.58,19.58,19.68
05259T,ROXITHROMYCIN,Tablet for oral suspension 50 mg,J01FA06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.99
05260W,ROXITHROMYCIN,Tablet 150 mg,J01FA06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.76,11.76,11.76,11.76,11.76,11.76,11.76,11.49,11.49,11.49,11.49,11.49,11.49,11.49,11.49,11.49,11.49,11.49,11.49,11.49,11.49,9.76,9.76,9.76,9.86
05261X,ROXITHROMYCIN,Tablet 300 mg,J01FA06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.76,11.76,11.76,11.76,11.76,11.76,11.76,11.49,11.49,11.49,11.49,11.49,11.49,11.49,11.49,11.49,11.49,11.49,11.49,11.49,11.49,9.76,9.76,9.76,9.86
05262Y,FINGOLIMOD,Capsule 500 micrograms (as hydrochloride),L04AE01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2312.98,2312.98,2312.98,2312.98,2312.98,2312.98,2312.98,2312.98,2312.98,2312.98,2313.08
05263B,METHYLPREDNISOLONE,Powder for injection 40 mg (as sodium succinate),H02AB04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.47,30.47,30.47,30.47,30.47,30.47,30.47,30.47,30.47,30.47,30.47,30.57
05264C,METHYLPREDNISOLONE,Powder for injection 1 g (as sodium succinate),H02AB04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.79
05265D,FENTANYL,Transdermal patch 1.28 mg,N02AB03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.53,41.53,41.53,41.53,41.53,41.53,41.53,41.53,41.53,41.53,41.63
05266E,GLUCOSE INDICATOR BLOOD,"Test strips, 50 (TRUEresult)",V04CA02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.18,53.18,53.18,53.18,53.18,53.18,53.18,53.18,53.18,53.18,53.28
05267F,GLUCOSE INDICATOR BLOOD,"Test strips, 50 (TRUEbalance)",V04CA02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.18,53.18,53.18,53.18,53.18,53.18,53.18,53.18,53.18,53.18,53.28
05268G,GLUCOSE INDICATOR BLOOD,"Test strips, 50 (TRUEresult)",V04CA02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.18,53.18,53.18,53.18,53.18,53.18,53.18,53.18,53.18,53.18,53.28
05269H,GLUCOSE INDICATOR BLOOD,"Test strips, 50 (TRUEbalance)",V04CA02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.18,53.18,53.18,53.18,53.18,53.18,53.18,53.18,53.18,53.18,53.28
05270J,DOCETAXEL,Solution concentrate for I.V. infusion 20 mg in 1 mL,L01CD02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.16,651.16,651.16,651.16,,,,,,,,
05271K,DOCETAXEL,Injection set containing 1 single use vial concentrate for I.V. infusion 20 mg (anhydrous) in 0.5 mL with solvent,L01CD02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.16,651.16,651.16,651.16,,,,,,,,
05272L,DOCETAXEL,Solution concentrate for I.V. infusion 80 mg in 4 mL,L01CD02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280.83,1280.83,1280.83,1280.83,,,,,,,,
05273M,DOCETAXEL,Injection set containing 1 single use vial concentrate for I.V. infusion 80 mg (anhydrous) in 2 mL with solvent,L01CD02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280.83,1280.83,1280.83,1280.83,,,,,,,,
05274N,DOCETAXEL,Solution concentrate for I.V. infusion 140 mg in 7 mL,L01CD02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2159.66,2159.66,2159.66,2159.66,2159.66,,,,,,,,
05275P,DOCETAXEL,Solution concentrate for I.V. infusion 140 mg in 7 mL,L01CD02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2159.66,2159.66,2159.66,2159.66,2159.66,,,,,,,,
05276Q,CALCIPOTRIOL + BETAMETHASONE DIPROPIONATE,"Gel containing calcipotriol 50 micrograms with betamethasone 500 micrograms (as dipropionate) per g, 30 g",D05AX52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.89,41.89,41.89,41.89,41.89,41.89,41.89,41.89,41.89,41.89,41.99
05277R,FENTANYL,Transdermal patch 2.55 mg,N02AB03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.46,49.46,49.46,49.46,49.46,49.46,49.46,49.46,49.46,49.46,49.46,49.56
05278T,FENTANYL,Transdermal patch 5.10 mg,N02AB03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.58,81.58,81.58,81.58,81.58,81.58,81.58,81.58,81.58,81.58,81.58,81.68
05279W,FENTANYL,Transdermal patch 7.65 mg,N02AB03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.37,108.37,108.37,108.37,108.37,108.37,108.37,108.37,108.37,108.37,108.37,108.47
05280X,FENTANYL,Transdermal patch 10.20 mg,N02AB03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.4
05281Y,ADALIMUMAB,Injection 40 mg in 0.8 mL pre-filled syringe,L04AB04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.46
05282B,ADALIMUMAB,Injection 40 mg in 0.8 mL pre-filled pen,L04AB04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.46
05283C,ADALIMUMAB,Injection 40 mg in 0.8 mL pre-filled syringe,L04AB04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.46
05284D,ADALIMUMAB,Injection 40 mg in 0.8 mL pre-filled pen,L04AB04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.36,1774.46
05285E,AMLODIPINE + VALSARTAN + HYDROCHLOROTHIAZIDE,Tablet 5 mg (as besilate)-160 mg-12.5 mg,C09DX01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.55,35.55,35.55,35.07,35.07,35.07,35.07,35.07,35.07,35.07,35.07,35.07,35.07,35.07,35.07,35.07,35.07,29.82,29.82,29.82,29.92
05286F,AMLODIPINE + VALSARTAN + HYDROCHLOROTHIAZIDE,Tablet 5 mg (as besilate)-160 mg-25 mg,C09DX01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.62,37.62,37.62,37.14,37.14,37.14,37.14,37.14,37.14,37.14,37.14,37.14,37.14,37.14,37.14,37.14,37.14,31.9,31.9,31.9,32.0
05287G,AMLODIPINE + VALSARTAN + HYDROCHLOROTHIAZIDE,Tablet 10 mg (as besilate)-160 mg-12.5 mg,C09DX01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.52,42.52,42.52,41.79,41.79,41.79,41.79,41.79,41.79,41.79,41.79,41.79,41.79,41.79,41.79,41.79,41.79,33.36,33.36,33.36,33.46
05288H,AMLODIPINE + VALSARTAN + HYDROCHLOROTHIAZIDE,Tablet 10 mg (as besilate)-160 mg-25 mg,C09DX01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.32,44.32,44.32,43.59,43.59,43.59,43.59,43.59,43.59,43.59,43.59,43.59,43.59,43.59,43.59,43.59,43.59,35.45,35.45,35.45,35.55
05289J,AMLODIPINE + VALSARTAN + HYDROCHLOROTHIAZIDE,Tablet 10 mg (as besilate)-320 mg-25 mg,C09DX01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.45,48.45,48.45,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72,40.02,40.02,40.02,40.12
05290K,ELETRIPTAN,Tablet 40 mg (as hydrobromide),N02CC06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.85
05291L,ELETRIPTAN,Tablet 80 mg (as hydrobromide),N02CC06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.85
05292M,OLMESARTAN + AMLODIPINE,Tablet containing olmesartan medoxomil 20 mg with amlodipine 5 mg (as besilate),C09DB02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.41,35.41,35.41,34.89,34.89,34.62,34.62,34.62,34.62,34.62,34.62,34.62,34.62,34.62,34.62,34.62,34.62,22.38,22.38,22.38,22.48
05293N,OLMESARTAN + AMLODIPINE,Tablet containing olmesartan medoxomil 40 mg with amlodipine 5 mg (as besilate),C09DB02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.49,40.49,40.49,39.98,39.98,39.66,39.66,39.66,39.66,39.66,39.66,39.66,39.66,39.66,39.66,39.66,39.66,34.65,34.65,34.65,34.75
05294P,OLMESARTAN + AMLODIPINE,Tablet containing olmesartan medoxomil 40 mg with amlodipine 10 mg (as besilate),C09DB02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.26,47.26,47.26,46.48,46.48,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,38.45,38.45,38.45,38.55
05295Q,PALONOSETRON,Injection 250 micrograms (as hydrochloride) in 5 mL,A04AA05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.86,47.86,47.86,47.86,47.86,47.86,47.86,47.86,47.86,47.86,47.86,47.86,47.86,47.86,47.86,47.86,47.86,47.86,47.86,47.86,47.96
05296R,ARTEMETHER + LUMEFANTRINE,Tablet (dispersible) 20 mg-120 mg,P01BF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,97.0
05297T,TRIPTORELIN,"Powder for I.M. injection (prolonged release) 22.5 mg (as embonate) with solvent, syringe and needles",L02AE04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2123.98,2123.98,2123.98,2123.98,2123.98,2123.98,2123.98,2123.98,2123.98,2123.98,2123.98,2123.98,2123.98,2123.98,2123.98,2123.98,2123.98,2123.98,2123.98,2123.98,2124.08
05298W,BRIMONIDINE,"Eye drops containing brimonidine tartrate 1.5 mg per mL, 5 mL",S01EA05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.42,20.42,20.42,20.14,20.14,20.14,20.14,20.14,20.14,20.14,20.14,20.14,20.14,20.14,20.14,20.14,20.14,20.14,20.14,20.14,20.24
05299X,TACROLIMUS,Capsule 0.5 mg (once daily prolonged release),L04AD02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.89,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.69
05300Y,TACROLIMUS,Capsule 1 mg (once daily prolonged release),L04AD02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.12,235.91,235.91,235.91,235.91,235.91,235.91,235.91,235.91,235.91,235.91,235.91,235.91,235.91,235.91,235.91,235.91,235.91,235.91,235.91,236.01
05301B,BISACODYL,Tablet 5 mg,A06AB02,13.75,13.75,13.75,13.75,14.13,14.13,14.13,14.13,14.18,14.18,14.18,14.18,13.00,13.00,13.00,13.00,13.19,13.19,13.19,13.19,13.14,13.14,13.14,13.14,13.14,13.14,13.14,13.14,13.14,13.14,13.14,13.31,13.43,13.43,13.43,13.43,13.43,13.43,13.43,13.43,13.43,13.43,13.43,13.8,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.6,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.27,14.27,14.27,14.27,14.27,14.27,14.11,14.11,14.11,14.11,14.11,14.11,14.11,14.11,14.11,14.11,14.11,14.11,14.11,14.11,14.11,14.11,14.11,14.21
05302C,BISACODYL,"Enemas 10 mg in 5 mL, 25",A06AG02,35.72,35.72,35.72,35.72,35.72,35.72,35.72,35.72,35.77,35.77,35.77,35.77,35.77,35.77,35.77,35.77,35.96,35.96,35.96,35.96,35.17,35.17,35.17,35.17,35.17,35.17,35.17,35.17,35.17,35.17,35.17,35.34,35.46,35.46,35.46,35.46,35.46,35.46,35.46,35.46,36.66,36.66,36.66,37.03,37.97,37.97,37.97,37.97,37.97,37.97,37.97,37.97,39.48,39.48,39.48,39.91,39.24,39.24,39.24,39.24,39.24,39.24,39.24,39.24,39.24,39.24,39.24,39.24,38.59,38.59,38.59,38.59,38.59,38.59,37.94,37.94,37.94,37.94,37.94,37.94,37.94,37.94,37.94,37.94,37.94,37.94,37.94,37.94,37.94,37.94,37.94,38.04
